ts,user_id,endpoint,status,latency_ms,bytes
1700000000,858646,/api/v2/recommendations,200,4369.011,892109
1700000001,241651,/api/v1/users/{id},200,3825.220,1205132
1700000002,897045,/api/v2/inventory,200,909.002,1564117
1700000003,530731,/api/v1/search,201,4006.380,1215248
1700000004,135733,/api/v1/cart,200,3702.750,97171
1700000005,479769,/api/v1/users/{id},200,2474.947,225507
1700000006,531051,/api/v1/users/{id},200,4461.106,1206753
1700000007,63924,/api/v2/recommendations,200,1174.846,1200556
1700000008,232601,/api/v1/users/{id},200,4499.285,1454944
1700000009,849982,/static/app.js,200,1586.158,1542120
1700000010,877379,/metrics,200,133.163,1231785
1700000011,743103,/api/v1/products/{id},200,4812.608,1025456
1700000012,389199,/api/v1/users/{id},200,2389.811,1062676
1700000013,393476,/api/v1/search,404,4180.617,1633915
1700000014,68893,/api/v1/users/{id},200,909.834,1944930
1700000015,249228,/api/v1/orders,200,1898.892,789716
1700000016,441725,/api/v2/inventory,304,4721.568,1950448
1700000017,727514,/api/v1/session,200,4834.446,1814850
1700000018,377791,/api/v1/checkout,200,24.077,1660559
1700000019,635247,/api/v1/checkout,200,1264.133,1573141
1700000020,6441,/api/v1/search,400,1782.735,1040104
1700000021,54458,/api/v1/orders,200,1424.225,653987
1700000022,851263,/api/v2/inventory,200,190.530,245609
1700000023,183786,/api/v1/search,201,4075.483,1095376
1700000024,865631,/api/v2/inventory,200,4337.295,900253
1700000025,395335,/api/v1/login,404,4578.861,247992
1700000026,983583,/api/v1/users/{id},200,1132.862,527719
1700000027,784142,/api/v1/users,200,418.542,1597718
1700000028,34751,/api/v1/login,204,801.501,1363875
1700000029,737360,/api/v1/session,200,191.945,364441
1700000030,231084,/api/v1/users/{id},200,2230.261,603719
1700000031,203858,/api/v1/users,200,1823.386,1138123
1700000032,843878,/static/app.js,200,1632.966,407933
1700000033,77301,/api/v1/search,404,4574.480,1749487
1700000034,800299,/api/v1/orders,200,379.296,565862
1700000035,706312,/api/v1/products/{id},200,2777.571,1019151
1700000036,279498,/api/v1/orders/{id},200,1529.818,1810079
1700000037,371165,/api/v1/orders,200,4936.335,362521
1700000038,844555,/static/app.css,200,3771.424,1170267
1700000039,357716,/api/v1/logout,200,257.394,1154927
1700000040,64313,/static/app.css,200,2358.698,215849
1700000041,206900,/api/v1/checkout,200,1858.048,1221770
1700000042,925132,/api/v1/products,200,1669.944,281238
1700000043,169836,/api/v1/session,200,3624.739,55264
1700000044,508572,/api/v1/logout,404,4281.106,1414143
1700000045,112506,/api/v2/reviews,200,3631.289,1948706
1700000046,637241,/api/v1/products,404,1245.383,537121
1700000047,728032,/api/v1/cart,200,723.964,809146
1700000048,563024,/metrics,200,879.949,584565
1700000049,296302,/api/v2/inventory,200,2680.280,882442
